It      0      1 | T(s) 149.03 | Feas 60 322846.00 324311.76 | NO-INFEASIBLE | Div 0.68 -1.00 | Feas 1.00 1.00 | Pen 119.77 0.85
It    500     92 | T(s) 327.92 | Feas 33 319073.00 319706.88 | Inf 60 319211.14 319969.53 | Div 0.59 0.43 | Feas 0.69 1.00 | Pen 53.14 0.38
It   1000    232 | T(s) 485.09 | Feas 65 318028.00 318525.48 | Inf 39 318284.74 318887.71 | Div 0.55 0.58 | Feas 0.52 1.00 | Pen 23.58 0.17
It   1500    212 | T(s) 637.32 | Feas 59 317273.00 317971.64 | Inf 26 317083.07 317907.03 | Div 0.57 0.59 | Feas 0.25 1.00 | Pen 17.04 0.10
It   2000    322 | T(s) 795.65 | Feas 39 317117.00 317600.96 | Inf 45 316782.92 317326.36 | Div 0.58 0.57 | Feas 0.21 1.00 | Pen 17.38 0.10
It   2500    181 | T(s) 951.39 | Feas 55 316529.00 317288.68 | Inf 31 316419.04 316944.36 | Div 0.56 0.58 | Feas 0.18 1.00 | Pen 14.77 0.10
It   3000     48 | T(s) 1105.34 | Feas 35 316361.00 317114.48 | Inf 56 316227.41 316674.75 | Div 0.58 0.55 | Feas 0.28 1.00 | Pen 15.07 0.10
It   3500    548 | T(s) 1258.94 | Feas 34 316361.00 316899.56 | Inf 48 316058.02 316458.77 | Div 0.57 0.54 | Feas 0.26 1.00 | Pen 15.67 0.10
It   4000    295 | T(s) 1412.23 | Feas 37 316137.00 316791.16 | Inf 46 316133.32 316719.74 | Div 0.57 0.56 | Feas 0.15 1.00 | Pen 18.81 0.10
It   4500    316 | T(s) 1559.13 | Feas 46 315791.00 316549.56 | Inf 60 315765.96 316382.13 | Div 0.51 0.54 | Feas 0.36 1.00 | Pen 15.99 0.10
It   5000    106 | T(s) 1709.19 | Feas 50 315701.00 316353.36 | Inf 55 315686.61 316108.94 | Div 0.46 0.47 | Feas 0.16 1.00 | Pen 16.31 0.10
It   5500    606 | T(s) 1857.56 | Feas 44 315701.00 316231.72 | Inf 54 315556.61 315983.53 | Div 0.47 0.50 | Feas 0.16 1.00 | Pen 16.31 0.10
It   6000   1106 | T(s) 1996.77 | Feas 37 315701.00 316247.64 | Inf 34 315453.23 316006.43 | Div 0.53 0.54 | Feas 0.29 1.00 | Pen 16.63 0.10
It   6500    145 | T(s) 2138.63 | Feas 48 315673.00 316117.68 | Inf 46 315200.15 315814.09 | Div 0.51 0.52 | Feas 0.33 1.00 | Pen 14.14 0.10
It   7000    266 | T(s) 2282.55 | Feas 40 315530.00 316041.12 | Inf 34 315284.98 315774.48 | Div 0.50 0.54 | Feas 0.24 1.00 | Pen 16.97 0.10
It   7500     56 | T(s) 2432.20 | Feas 63 315334.00 315913.52 | Inf 54 315203.33 315708.37 | Div 0.48 0.50 | Feas 0.28 1.00 | Pen 17.31 0.10
It   8000    310 | T(s) 2568.97 | Feas 36 315150.00 315871.48 | Inf 46 314978.94 315379.33 | Div 0.51 0.45 | Feas 0.16 1.00 | Pen 17.31 0.10
It   8500    137 | T(s) 2712.90 | Feas 26 315129.00 315948.48 | Inf 33 314979.56 315416.09 | Div 0.53 0.50 | Feas 0.23 1.00 | Pen 17.65 0.10
It   9000    637 | T(s) 2847.48 | Feas 46 315129.00 315616.28 | Inf 64 314941.59 315288.41 | Div 0.46 0.45 | Feas 0.24 1.00 | Pen 17.65 0.10
It   9500   1137 | T(s) 2981.03 | Feas 42 315129.00 315561.00 | Inf 54 314816.24 315192.29 | Div 0.46 0.42 | Feas 0.21 1.00 | Pen 17.65 0.10
It  10000    410 | T(s) 3114.33 | Feas 30 315005.00 315367.96 | Inf 39 314636.02 315021.90 | Div 0.43 0.41 | Feas 0.23 1.00 | Pen 18.36 0.10
It  10500    188 | T(s) 3252.10 | Feas 29 314753.00 315538.24 | Inf 65 314630.20 315072.21 | Div 0.50 0.45 | Feas 0.24 1.00 | Pen 18.73 0.10
It  11000    182 | T(s) 3393.74 | Feas 38 314745.00 315385.48 | Inf 51 314537.00 314959.24 | Div 0.50 0.45 | Feas 0.24 1.00 | Pen 18.73 0.10
It  11500    682 | T(s) 3531.16 | Feas 42 314745.00 315327.64 | Inf 36 314537.00 314956.09 | Div 0.48 0.46 | Feas 0.23 1.00 | Pen 18.73 0.10
It  12000    192 | T(s) 3665.53 | Feas 50 314696.00 315239.48 | Inf 60 314421.80 314786.83 | Div 0.46 0.44 | Feas 0.21 1.00 | Pen 15.92 0.10
It  12500    692 | T(s) 3800.82 | Feas 28 314696.00 315376.36 | Inf 44 314350.62 314668.28 | Div 0.52 0.43 | Feas 0.18 1.00 | Pen 16.24 0.10
It  13000    152 | T(s) 3933.57 | Feas 64 314448.00 315033.20 | Inf 29 314363.61 314887.40 | Div 0.47 0.50 | Feas 0.26 1.00 | Pen 16.57 0.10
It  13500    652 | T(s) 4072.94 | Feas 52 314448.00 314921.68 | Inf 61 314376.86 314698.67 | Div 0.47 0.45 | Feas 0.19 1.00 | Pen 16.90 0.10
It  14000   1152 | T(s) 4210.48 | Feas 31 314448.00 315124.56 | Inf 57 314182.45 314585.37 | Div 0.51 0.41 | Feas 0.11 1.00 | Pen 20.28 0.10
It  14500    158 | T(s) 4342.40 | Feas 30 314340.00 315018.60 | Inf 26 314100.33 314823.27 | Div 0.49 0.50 | Feas 0.23 1.00 | Pen 17.23 0.10
It  15000    658 | T(s) 4476.91 | Feas 25 314340.00 315023.84 | Inf 57 313898.95 314393.67 | Div 0.50 0.42 | Feas 0.20 1.00 | Pen 17.58 0.10
It  15500    255 | T(s) 4612.00 | Feas 30 314143.00 314708.52 | Inf 44 313907.47 314414.56 | Div 0.45 0.46 | Feas 0.15 1.00 | Pen 18.29 0.10
It  16000    110 | T(s) 4744.24 | Feas 60 314136.00 314494.12 | Inf 26 313878.83 314680.25 | Div 0.38 0.50 | Feas 0.13 1.00 | Pen 18.66 0.10
It  16500    407 | T(s) 4877.23 | Feas 25 313873.00 314679.64 | Inf 41 313878.83 314239.97 | Div 0.45 0.42 | Feas 0.25 1.00 | Pen 18.66 0.10
It  17000    907 | T(s) 5012.52 | Feas 55 313873.00 314342.96 | Inf 32 313726.37 314167.65 | Div 0.36 0.44 | Feas 0.27 1.00 | Pen 19.03 0.10
It  17500   1407 | T(s) 5145.88 | Feas 48 313873.00 314205.72 | Inf 28 313726.37 314171.43 | Div 0.34 0.44 | Feas 0.20 1.00 | Pen 19.03 0.10
It  18000    454 | T(s) 5279.76 | Feas 28 313862.00 314682.20 | Inf 58 313674.72 314093.92 | Div 0.48 0.40 | Feas 0.28 1.00 | Pen 19.41 0.10
It  18500    954 | T(s) 5412.52 | Feas 59 313862.00 314285.44 | Inf 39 313587.95 314026.77 | Div 0.39 0.42 | Feas 0.18 1.00 | Pen 16.50 0.10
It  19000   1454 | T(s) 5541.10 | Feas 38 313862.00 314228.92 | Inf 33 313653.94 313974.42 | Div 0.38 0.40 | Feas 0.18 1.00 | Pen 19.80 0.10
It  19500      8 | T(s) 5676.14 | Feas 30 313840.00 314449.92 | Inf 63 313653.94 314034.76 | Div 0.46 0.38 | Feas 0.19 1.00 | Pen 19.80 0.10
It  20000    508 | T(s) 5810.35 | Feas 47 313840.00 314277.52 | Inf 50 313644.51 313955.97 | Div 0.40 0.36 | Feas 0.16 1.00 | Pen 20.19 0.10
It  20500   1008 | T(s) 5939.15 | Feas 62 313840.00 314322.68 | Inf 36 313586.05 313987.98 | Div 0.38 0.40 | Feas 0.24 1.00 | Pen 20.19 0.10
It  21000   1508 | T(s) 6067.74 | Feas 47 313840.00 314212.52 | Inf 64 313586.05 313941.22 | Div 0.40 0.37 | Feas 0.23 1.00 | Pen 20.19 0.10
It  21500   2008 | T(s) 6197.74 | Feas 47 313840.00 314199.96 | Inf 43 313522.44 313875.39 | Div 0.42 0.41 | Feas 0.28 1.00 | Pen 17.16 0.10
It  22000    457 | T(s) 6333.19 | Feas 34 313742.00 314356.56 | Inf 37 313603.18 314177.43 | Div 0.45 0.46 | Feas 0.25 1.00 | Pen 21.01 0.10
It  22500    957 | T(s) 6463.59 | Feas 60 313742.00 314308.68 | Inf 55 313537.01 313974.74 | Div 0.42 0.43 | Feas 0.25 1.00 | Pen 17.86 0.10
It  23000   1457 | T(s) 6597.69 | Feas 31 313742.00 314488.68 | Inf 53 313537.01 313908.82 | Div 0.47 0.41 | Feas 0.16 1.00 | Pen 17.86 0.10
It  23500   1957 | T(s) 6727.06 | Feas 53 313742.00 314187.64 | Inf 39 313552.16 314051.93 | Div 0.42 0.44 | Feas 0.13 1.00 | Pen 18.58 0.10
It  24000   2457 | T(s) 6855.63 | Feas 28 313742.00 314390.52 | Inf 25 313479.38 314274.23 | Div 0.47 0.48 | Feas 0.28 1.00 | Pen 15.79 0.10
It  24500   2957 | T(s) 6990.00 | Feas 60 313742.00 314017.96 | Inf 26 313492.24 314258.74 | Div 0.38 0.49 | Feas 0.13 1.00 | Pen 19.33 0.10
It  25000     18 | T(s) 7120.88 | Feas 44 313633.00 314105.84 | Inf 56 313501.90 313932.18 | Div 0.40 0.43 | Feas 0.22 1.00 | Pen 19.72 0.10
It  25500    518 | T(s) 7253.37 | Feas 34 313633.00 314032.60 | Inf 36 313501.90 313828.26 | Div 0.41 0.43 | Feas 0.20 1.00 | Pen 19.72 0.10
It  26000     21 | T(s) 7385.90 | Feas 35 313623.00 314065.52 | Inf 53 313436.34 313847.30 | Div 0.41 0.42 | Feas 0.26 1.00 | Pen 17.09 0.10
It  26500    521 | T(s) 7517.22 | Feas 28 313623.00 314004.32 | Inf 36 313453.61 313841.88 | Div 0.42 0.44 | Feas 0.20 1.00 | Pen 17.78 0.10
It  27000   1021 | T(s) 7648.71 | Feas 61 313623.00 313883.56 | Inf 60 313394.48 313759.14 | Div 0.34 0.42 | Feas 0.26 1.00 | Pen 15.42 0.10
It  27500   1521 | T(s) 7775.27 | Feas 33 313623.00 314068.24 | Inf 52 313402.19 313924.79 | Div 0.41 0.43 | Feas 0.28 1.00 | Pen 15.73 0.10
It  28000    118 | T(s) 7904.15 | Feas 48 313598.00 313899.68 | Inf 42 313410.05 313787.37 | Div 0.34 0.43 | Feas 0.21 1.00 | Pen 16.04 0.10
It  28500    618 | T(s) 8045.34 | Feas 47 313598.00 313824.76 | Inf 47 313490.26 313811.45 | Div 0.33 0.42 | Feas 0.14 1.00 | Pen 19.25 0.10
It  29000   1118 | T(s) 8190.52 | Feas 30 313598.00 313902.84 | Inf 29 313490.26 313922.00 | Div 0.41 0.46 | Feas 0.21 1.00 | Pen 19.25 0.10
