It      0      2 | T(s) 14.06 | Feas 60 579528.00 580171.84 | NO-INFEASIBLE | Div 0.76 -1.00 | Feas 1.00 1.00 | Pen 118.83 0.85
It    500     43 | T(s) 51.34 | Feas 55 573510.00 574347.32 | Inf 63 573741.86 574274.14 | Div 0.60 0.56 | Feas 0.17 1.00 | Pen 87.57 0.38
It   1000     14 | T(s) 90.34 | Feas 53 572218.00 573135.44 | Inf 30 572311.31 573563.04 | Div 0.62 0.71 | Feas 0.15 1.00 | Pen 126.10 0.17
It   1500    138 | T(s) 128.72 | Feas 28 571809.00 572448.60 | Inf 57 571723.40 572361.72 | Div 0.66 0.48 | Feas 0.13 1.00 | Pen 131.20 0.10
It   2000     96 | T(s) 167.35 | Feas 52 571477.00 571878.36 | Inf 48 571612.47 571962.24 | Div 0.58 0.50 | Feas 0.14 1.00 | Pen 133.82 0.10
It   2500    351 | T(s) 205.66 | Feas 60 571287.00 571608.20 | Inf 36 571408.07 571728.74 | Div 0.49 0.59 | Feas 0.29 1.00 | Pen 116.02 0.10
It   3000    135 | T(s) 245.15 | Feas 60 570823.00 571350.12 | Inf 39 570884.07 571566.81 | Div 0.55 0.62 | Feas 0.14 1.00 | Pen 167.07 0.10
It   3500    258 | T(s) 283.63 | Feas 63 570794.00 570963.04 | Inf 27 570884.07 571488.48 | Div 0.42 0.62 | Feas 0.17 1.00 | Pen 167.07 0.10
It   4000    154 | T(s) 322.73 | Feas 64 570592.00 570861.48 | Inf 40 570697.01 571009.38 | Div 0.45 0.50 | Feas 0.25 1.00 | Pen 142.01 0.10
It   4500    203 | T(s) 359.30 | Feas 63 570339.00 570832.80 | Inf 29 570482.71 571016.10 | Div 0.50 0.60 | Feas 0.18 1.00 | Pen 120.71 0.10
It   5000    703 | T(s) 397.48 | Feas 64 570339.00 570647.48 | Inf 30 570506.85 570950.21 | Div 0.47 0.58 | Feas 0.25 1.00 | Pen 144.85 0.10
It   5500    287 | T(s) 436.22 | Feas 43 570267.00 570647.20 | Inf 27 570386.60 571045.14 | Div 0.55 0.65 | Feas 0.12 1.00 | Pen 177.30 0.10
It   6000    243 | T(s) 473.99 | Feas 55 570074.00 570453.44 | Inf 54 570198.72 570535.45 | Div 0.50 0.52 | Feas 0.26 1.00 | Pen 153.72 0.10
It   6500    743 | T(s) 511.24 | Feas 53 570074.00 570385.12 | Inf 41 570127.72 570512.63 | Div 0.52 0.52 | Feas 0.23 1.00 | Pen 153.72 0.10
It   7000    371 | T(s) 549.74 | Feas 26 570051.00 570842.20 | Inf 34 570042.44 570745.22 | Div 0.65 0.59 | Feas 0.16 1.00 | Pen 153.72 0.10
It   7500    204 | T(s) 588.79 | Feas 60 569838.00 570247.36 | Inf 27 569858.59 570947.75 | Div 0.50 0.63 | Feas 0.20 1.00 | Pen 156.79 0.10
It   8000      3 | T(s) 627.36 | Feas 30 569589.00 570187.16 | Inf 37 569897.83 570200.89 | Div 0.56 0.47 | Feas 0.16 1.00 | Pen 191.92 0.10
It   8500    503 | T(s) 664.17 | Feas 39 569589.00 570042.92 | Inf 56 569728.26 570074.96 | Div 0.53 0.42 | Feas 0.20 1.00 | Pen 163.13 0.10
It   9000   1003 | T(s) 702.21 | Feas 29 569589.00 570133.44 | Inf 43 569741.44 570018.30 | Div 0.56 0.39 | Feas 0.13 1.00 | Pen 169.72 0.10
It   9500    132 | T(s) 739.40 | Feas 43 569533.00 569889.12 | Inf 25 569685.23 570325.44 | Div 0.47 0.55 | Feas 0.21 1.00 | Pen 173.11 0.10
It  10000    632 | T(s) 777.55 | Feas 29 569533.00 570059.92 | Inf 60 569685.23 570037.13 | Div 0.57 0.45 | Feas 0.18 1.00 | Pen 173.11 0.10
