=========== Algorithm Parameters =================
---- nbGranular              is set to 20
---- mu                      is set to 25
---- lambda                  is set to 40
---- nbElite                 is set to 4
---- nbClose                 is set to 5
---- nbIterPenaltyManagement is set to 100
---- targetFeasible          is set to 0.2
---- penaltyDecrease         is set to 0.85
---- penaltyIncrease         is set to 1.2
---- seed                    is set to 1
---- nbIter                  is set to 20000
---- nbIterTraces            is set to 500
---- timeLimit               is set to 2460
---- useSwapStar             is set to 1
==================================================
----- READING INSTANCE: XLDemo/XLTEST-n1048-k139.vrp
0.57 0.57 | Feas 0.21 1.00 | Pen 52.50 0.17
It   1500    246 | T(s) 14.81 | Feas 41 126323.00 126829.60 | Inf 30 126628.00 126909.56 | Div 0.51 0.56 | Feas 0.18 1.00 | Pen 52.50 0.10
It   2000    746 | T(s) 19.23 | Feas 39 126323.00 126549.92 | Inf 27 126333.55 126593.56 | Div 0.44 0.47 | Feas 0.17 1.00 | Pen 53.55 0.10
It   2500     82 | T(s) 23.42 | Feas 39 126151.00 126441.36 | Inf 59 126216.09 126381.78 | Div 0.43 0.38 | Feas 0.15 1.00 | Pen 65.54 0.10
It   3000    139 | T(s) 27.31 | Feas 63 126086.00 126246.72 | Inf 51 126047.36 126255.70 | Div 0.37 0.42 | Feas 0.24 1.00 | Pen 47.36 0.10
It   3500    264 | T(s) 31.27 | Feas 39 126013.00 126229.24 | Inf 43 126057.96 126200.09 | Div 0.46 0.42 | Feas 0.24 1.00 | Pen 57.96 0.10
It   4000    103 | T(s) 35.54 | Feas 26 125848.00 126169.84 | Inf 25 125878.25 126275.66 | Div 0.48 0.51 | Feas 0.28 1.00 | Pen 50.25 0.10
It   4500    441 | T(s) 39.56 | Feas 48 125806.00 125916.24 | Inf 45 125777.15 125892.47 | Div 0.27 0.31 | Feas 0.17 1.00 | Pen 42.72 0.10
It   5000    125 | T(s) 43.63 | Feas 25 125723.00 125991.68 | Inf 40 125762.43 125899.34 | Div 0.43 0.38 | Feas 0.18 1.00 | Pen 42.72 0.10
It   5500     90 | T(s) 47.66 | Feas 62 125645.00 125800.52 | Inf 42 125631.04 125890.20 | Div 0.36 0.40 | Feas 0.21 1.00 | Pen 51.26 0.10
It   6000    590 | T(s) 51.66 | Feas 29 125645.00 125875.88 | Inf 30 125635.14 125893.46 | Div 0.43 0.44 | Feas 0.19 1.00 | Pen 52.28 0.10
It   6500    480 | T(s) 55.47 | Feas 53 125588.00 125721.36 | Inf 58 125580.77 125731.21 | Div 0.35 0.38 | Feas 0.28 1.00 | Pen 44.44 0.10
It   7000    134 | T(s) 59.30 | Feas 48 125518.00 125635.04 | Inf 60 125480.99 125601.78 | Div 0.30 0.34 | Feas 0.18 1.00 | Pen 45.33 0.10
It   7500    634 | T(s) 63.17 | Feas 62 125518.00 125620.96 | Inf 38 125483.71 125592.93 | Div 0.28 0.36 | Feas 0.27 1.00 | Pen 46.24 0.10
It   8000    191 | T(s) 66.93 | Feas 50 125476.00 125616.84 | Inf 32 125448.24 125698.64 | Div 0.34 0.42 | Feas 0.18 1.00 | Pen 46.24 0.10
It   8500     57 | T(s) 70.89 | Feas 58 125434.00 125579.64 | Inf 56 125420.16 125591.48 | Div 0.33 0.35 | Feas 0.33 1.00 | Pen 47.16 0.10
It   9000     88 | T(s) 74.85 | Feas 32 125433.00 125591.52 | Inf 48 125374.65 125530.74 | Div 0.37 0.33 | Feas 0.24 1.00 | Pen 47.16 0.10
It   9500    106 | T(s) 78.77 | Feas 25 125409.00 125680.68 | Inf 39 125362.11 125557.03 | Div 0.43 0.35 | Feas 0.16 1.00 | Pen 48.11 0.10
It  10000    164 | T(s) 82.57 | Feas 41 125365.00 125510.24 | Inf 25 125345.71 125529.05 | Div 0.36 0.38 | Feas 0.28 1.00 | Pen 41.71 0.10
It  10500    116 | T(s) 86.27 | Feas 52 125277.00 125407.04 | Inf 53 125309.17 125389.15 | Div 0.26 0.24 | Feas 0.18 1.00 | Pen 42.54 0.10
It  11000    616 | T(s) 90.07 | Feas 42 125277.00 125363.60 | Inf 52 125258.39 125340.04 | Div 0.24 0.24 | Feas 0.30 1.00 | Pen 43.39 0.10
It  11500     38 | T(s) 93.66 | Feas 45 125234.00 125326.12 | Inf 29 125248.88 125399.16 | Div 0.25 0.34 | Feas 0.27 1.00 | Pen 36.88 0.10
It  12000    176 | T(s) 97.35 | Feas 37 125208.00 125308.92 | Inf 27 125233.26 125396.28 | Div 0.26 0.34 | Feas 0.20 1.00 | Pen 44.26 0.10
It  12500    134 | T(s) 100.78 | Feas 40 125173.00 125233.72 | Inf 46 125186.86 125291.64 | Div 0.18 0.27 | Feas 0.22 1.00 | Pen 37.62 0.10
It  13000     98 | T(s) 104.40 | Feas 33 125162.00 125222.52 | Inf 38 125186.86 125282.70 | Div 0.20 0.30 | Feas 0.21 1.00 | Pen 37.62 0.10
It  13500    598 | T(s) 107.97 | Feas 37 125162.00 125249.64 | Inf 26 125190.14 125485.87 | Div 0.25 0.39 | Feas 0.14 1.00 | Pen 46.05 0.10
It  14000     69 | T(s) 111.80 | Feas 26 125120.00 125304.92 | Inf 48 125159.77 125250.36 | Div 0.31 0.28 | Feas 0.27 1.00 | Pen 39.92 0.10
It  14500    569 | T(s) 115.49 | Feas 45 125120.00 125198.56 | Inf 38 125134.77 125243.56 | Div 0.22 0.29 | Feas 0.17 1.00 | Pen 39.92 0.10
It  15000    192 | T(s) 118.96 | Feas 41 125118.00 125158.44 | Inf 57 125117.77 125168.99 | Div 0.18 0.20 | Feas 0.22 1.00 | Pen 39.92 0.10
It  15500     61 | T(s) 122.34 | Feas 52 125104.00 125131.88 | Inf 36 125077.81 125130.33 | Div 0.13 0.21 | Feas 0.16 1.00 | Pen 33.94 0.10
It  16000    200 | T(s) 125.78 | Feas 30 125082.00 125146.84 | Inf 36 125114.87 125138.38 | Div 0.23 0.19 | Feas 0.14 1.00 | Pen 48.87 0.10
It  16500     52 | T(s) 129.18 | Feas 28 125056.00 125168.68 | Inf 44 125088.15 125153.05 | Div 0.25 0.23 | Feas 0.21 1.00 | Pen 41.54 0.10
It  17000    552 | T(s) 132.99 | Feas 51 125056.00 125106.52 | Inf 28 125082.73 125163.69 | Div 0.17 0.27 | Feas 0.24 1.00 | Pen 42.37 0.10
It  17500     16 | T(s) 136.63 | Feas 53 125044.00 125072.20 | Inf 55 125067.08 125177.54 | Div 0.13 0.24 | Feas 0.11 1.00 | Pen 44.08 0.10
It  18000     29 | T(s) 140.34 | Feas 28 125030.00 125116.16 | Inf 36 125019.65 125073.64 | Div 0.23 0.19 | Feas 0.14 1.00 | Pen 38.22 0.10
It  18500    248 | T(s) 145.29 | Feas 51 125022.00 125063.76 | Inf 62 125026.58 125086.62 | Div 0.17 0.19 | Feas 0.20 1.00 | Pen 45.86 0.10
It  19000    102 | T(s) 149.88 | Feas 62 125003.00 125039.44 | Inf 42 124992.04 125045.15 | Div 0.14 0.20 | Feas 0.22 1.00 | Pen 39.76 0.10
It  19500     80 | T(s) 154.65 | Feas 28 124994.00 125059.44 | Inf 28 124992.22 125053.98 | Div 0.20 0.23 | Feas 0.24 1.00 | Pen 40.56 0.10
It  20000    580 | T(s) 159.07 | Feas 29 124994.00 125080.96 | Inf 29 124980.47 125050.89 | Div 0.22 0.22 | Feas 0.18 1.00 | Pen 41.37 0.10
It  20500     34 | T(s) 163.66 | Feas 41 124987.00 125034.52 | Inf 56 124940.81 124981.94 | Div 0.18 0.14 | Feas 0.20 1.00 | Pen 35.16 0.10
It  21000     18 | T(s) 168.17 | Feas 55 124962.00 124994.92 | Inf 61 124961.78 124980.33 | Div 0.09 0.11 | Feas 0.14 1.00 | Pen 42.19 0.10
It  21500    124 | T(s) 172.84 | Feas 25 124954.00 125042.12 | Inf 29 124920.33 124992.36 | Div 0.19 0.19 | Feas 0.21 1.00 | Pen 35.87 0.10
It  22000    300 | T(s) 177.37 | Feas 38 124948.00 124976.64 | Inf 49 124883.43 124942.88 | Div 0.11 0.15 | Feas 0.27 1.00 | Pen 30.49 0.10
It  22500     37 | T(s) 181.61 | Feas 44 124933.00 124961.76 | Inf 44 124880.94 124925.02 | Div 0.10 0.14 | Feas 0.17 1.00 | Pen 30.49 0.10
It  23000    472 | T(s) 186.26 | Feas 47 124923.00 124960.16 | Inf 35 124850.46 124913.92 | Div 0.15 0.17 | Feas 0.22 1.00 | Pen 30.49 0.10
It  23500    972 | T(s) 190.75 | Feas 33 124923.00 125038.28 | Inf 27 124867.80 124973.20 | Div 0.25 0.20 | Feas 0.25 1.00 | Pen 43.90 0.10
It  24000    254 | T(s) 195.25 | Feas 26 124899.00 125037.56 | Inf 43 124856.12 124938.96 | Div 0.24 0.18 | Feas 0.20 1.00 | Pen 38.06 0.10
It  24500    146 | T(s) 199.59 | Feas 55 124872.00 124913.68 | Inf 59 124822.99 124872.88 | Div 0.14 0.14 | Feas 0.13 1.00 | Pen 33.00 0.10
It  25000    207 | T(s) 203.94 | Feas 39 124869.00 124891.72 | Inf 37 124815.32 124851.26 | Div 0.11 0.13 | Feas 0.24 1.00 | Pen 33.66 0.10
It  25500    238 | T(s) 208.11 | Feas 53 124851.00 124873.20 | Inf 54 124794.36 124836.07 | Div 0.09 0.12 | Feas 0.30 1.00 | Pen 29.18 0.10
It  26000     16 | T(s) 212.59 | Feas 30 124846.00 124873.80 | Inf 32 124772.61 124803.89 | Div 0.14 0.10 | Feas 0.29 1.00 | Pen 24.80 0.10
It  26500     99 | T(s) 216.75 | Feas 39 124829.00 124852.08 | Inf 57 124763.23 124781.34 | Div 0.09 0.05 | Feas 0.32 1.00 | Pen 25.81 0.10
It  27000    130 | T(s) 221.10 | Feas 34 124821.00 124838.56 | Inf 59 124790.50 124846.85 | Div 0.08 0.16 | Feas 0.26 1.00 | Pen 22.37 0.10
It  27500     22 | T(s) 225.26 | Feas 42 124818.00 124828.60 | Inf 47 124764.40 124821.78 | Div 0.06 0.13 | Feas 0.25 1.00 | Pen 26.85 0.10
It  28000    463 | T(s) 229.41 | Feas 63 124817.00 124820.28 | Inf 44 124732.11 124773.93 | Div 0.04 0.13 | Feas 0.18 1.00 | Pen 22.82 0.10
It  28500     83 | T(s) 233.85 | Feas 59 124813.00 124819.72 | Inf 29 124732.39 124789.95 | Div 0.04 0.16 | Feas 0.28 1.00 | Pen 23.28 0.10
It  29000    583 | T(s) 238.16 | Feas 57 124813.00 124818.92 | Inf 35 124753.74 124809.66 | Div 0.04 0.14 | Feas 0.17 1.00 | Pen 27.93 0.10
It  29500   1083 | T(s) 242.46 | Feas 48 124813.00 124816.08 | Inf 47 124711.91 124728.85 | Div 0.04 0.10 | Feas 0.28 1.00 | Pen 20.18 0.10
It  30000   1583 | T(s) 247.48 | Feas 41 124813.00 124821.04 | Inf 60 124839.19 124913.60 | Div 0.07 0.13 | Feas 0.25 1.00 | Pen 29.06 0.10
It  30500   2083 | T(s) 251.92 | Feas 49 124813.00 124818.72 | Inf 34 124800.41 124866.29 | Div 0.06 0.14 | Feas 0.23 1.00 | Pen 24.70 0.10
It  31000    419 | T(s) 256.78 | Feas 50 124812.00 124815.04 | Inf 39 124819.24 124956.66 | Div 0.05 0.15 | Feas 0.23 1.00 | Pen 30.24 0.10
It  31500     66 | T(s) 261.01 | Feas 40 124811.00 124816.28 | Inf 53 124801.10 124809.63 | Div 0.06 0.06 | Feas 0.21 1.00 | Pen 25.70 0.10
