=========== Algorithm Parameters =================
---- nbGranular              is set to 20
---- mu                      is set to 25
---- lambda                  is set to 40
---- nbElite                 is set to 4
---- nbClose                 is set to 5
---- nbIterPenaltyManagement is set to 100
---- targetFeasible          is set to 0.2
---- penaltyDecrease         is set to 0.85
---- penaltyIncrease         is set to 1.2
---- seed                    is set to 1
---- nbIter                  is set to 20000
---- nbIterTraces            is set to 500
---- timeLimit               is set to 14460
---- useSwapStar             is set to 1
==================================================
----- READING INSTANCE: XLDemo/XLTEST-n6034-k1234.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 1607 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 6033 CLIENTS AND 1607 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 64.16 | Feas 54 1024481.00 1026191.36 | Inf 59 1024376.60 1025669.59 | Div 0.75 0.75 | Feas 0.01 1.00 | Pen 16.56 0.85
It    500     15 | T(s) 215.32 | Feas 44 1015140.00 1015722.76 | Inf 51 1014554.36 1015544.00 | Div 0.60 0.55 | Feas 0.14 1.00 | Pen 34.34 0.38
It   1000      9 | T(s) 362.82 | Feas 52 1011605.00 1012612.88 | Inf 35 1011621.15 1012652.06 | Div 0.59 0.64 | Feas 0.15 1.00 | Pen 35.03 0.17
It   1500     29 | T(s) 514.19 | Feas 57 1011116.00 1011684.64 | Inf 60 1011002.88 1011506.11 | Div 0.56 0.52 | Feas 0.33 1.00 | Pen 36.44 0.10
It   2000      2 | T(s) 667.83 | Feas 25 1010385.00 1011659.48 | Inf 44 1010110.32 1010886.40 | Div 0.68 0.55 | Feas 0.18 1.00 | Pen 36.44 0.10
It   2500     56 | T(s) 815.64 | Feas 54 1010378.00 1010657.40 | Inf 39 1009858.92 1010503.04 | Div 0.54 0.56 | Feas 0.18 1.00 | Pen 43.73 0.10
It   3000     59 | T(s) 965.99 | Feas 62 1009565.00 1010331.96 | Inf 64 1009557.83 1010129.95 | Div 0.54 0.50 | Feas 0.28 1.00 | Pen 37.91 0.10
It   3500    174 | T(s) 1117.92 | Feas 37 1009258.00 1010034.80 | Inf 46 1009028.89 1009850.90 | Div 0.61 0.57 | Feas 0.12 1.00 | Pen 39.44 0.10
It   4000    227 | T(s) 1267.31 | Feas 43 1008726.00 1009665.36 | Inf 62 1008711.44 1009455.39 | Div 0.60 0.53 | Feas 0.22 1.00 | Pen 39.44 0.10
It   4500     94 | T(s) 1415.80 | Feas 55 1008454.00 1008823.12 | Inf 39 1008335.06 1008860.28 | Div 0.42 0.47 | Feas 0.19 1.00 | Pen 33.53 0.10
It   5000     47 | T(s) 1561.87 | Feas 35 1008092.00 1008693.08 | Inf 37 1007634.20 1008605.90 | Div 0.50 0.51 | Feas 0.20 1.00 | Pen 34.20 0.10
