=========== Algorithm Parameters =================
---- nbGranular              is set to 20
---- mu                      is set to 25
---- lambda                  is set to 40
---- nbElite                 is set to 4
---- nbClose                 is set to 5
---- nbIterPenaltyManagement is set to 100
---- targetFeasible          is set to 0.2
---- penaltyDecrease         is set to 0.85
---- penaltyIncrease         is set to 1.2
---- seed                    is set to 1
---- nbIter                  is set to 20000
---- nbIterTraces            is set to 500
---- timeLimit               is set to 10140
---- useSwapStar             is set to 1
==================================================
----- READING INSTANCE: XLDemo/XLTEST-n4245-k164.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 216 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 4244 CLIENTS AND 216 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 66.07 | Feas 60 201848.00 202419.48 | NO-INFEASIBLE | Div 0.61 -1.00 | Feas 1.00 1.00 | Pen 850.00 0.85
It    500     93 | T(s) 161.79 | Feas 39 198636.00 199187.88 | Inf 62 199387.15 199600.05 | Div 0.53 0.47 | Feas 0.39 1.00 | Pen 377.15 0.38
It   1000    307 | T(s) 253.33 | Feas 37 198372.00 198787.88 | Inf 37 198554.62 199067.69 | Div 0.52 0.49 | Feas 0.16 1.00 | Pen 231.62 0.17
It   1500    176 | T(s) 344.41 | Feas 59 197878.00 198167.64 | Inf 26 198104.62 198855.13 | Div 0.44 0.51 | Feas 0.20 1.00 | Pen 231.62 0.10
It   2000    113 | T(s) 430.90 | Feas 61 197513.00 197894.80 | Inf 55 197982.25 198245.61 | Div 0.44 0.43 | Feas 0.13 1.00 | Pen 236.25 0.10
It   2500    355 | T(s) 518.19 | Feas 30 197453.00 197862.64 | Inf 30 197904.83 198175.09 | Div 0.46 0.46 | Feas 0.14 1.00 | Pen 204.83 0.10
It   3000    193 | T(s) 608.23 | Feas 58 197349.00 197583.96 | Inf 60 197570.83 197998.58 | Div 0.36 0.40 | Feas 0.18 1.00 | Pen 204.83 0.10
It   3500    223 | T(s) 697.83 | Feas 44 197119.00 197491.48 | Inf 62 197249.83 197715.49 | Div 0.42 0.39 | Feas 0.16 1.00 | Pen 204.83 0.10
It   4000     41 | T(s) 779.91 | Feas 47 196975.00 197254.48 | Inf 62 197231.79 197570.73 | Div 0.32 0.35 | Feas 0.21 1.00 | Pen 245.79 0.10
It   4500     98 | T(s) 863.54 | Feas 42 196893.00 197107.56 | Inf 49 197193.71 197432.30 | Div 0.32 0.29 | Feas 0.25 1.00 | Pen 250.71 0.10
It   5000     55 | T(s) 946.49 | Feas 50 196841.00 197042.96 | Inf 41 197178.72 197390.63 | Div 0.33 0.33 | Feas 0.19 1.00 | Pen 255.72 0.10
It   5500     12 | T(s) 1029.13 | Feas 60 196817.00 196982.64 | Inf 28 197074.84 197458.21 | Div 0.32 0.38 | Feas 0.22 1.00 | Pen 260.84 0.10
It   6000    512 | T(s) 1111.94 | Feas 39 196817.00 196973.24 | Inf 51 196988.38 197306.63 | Div 0.35 0.37 | Feas 0.29 1.00 | Pen 271.38 0.10
It   6500    271 | T(s) 1194.67 | Feas 61 196768.00 196971.72 | Inf 38 197012.65 197334.00 | Div 0.35 0.38 | Feas 0.15 1.00 | Pen 325.65 0.10
It   7000    457 | T(s) 1280.44 | Feas 45 196709.00 196984.64 | Inf 26 196951.80 197382.45 | Div 0.37 0.43 | Feas 0.17 1.00 | Pen 276.80 0.10
It   7500    957 | T(s) 1360.06 | Feas 42 196709.00 196853.60 | Inf 53 196809.99 197099.27 | Div 0.34 0.33 | Feas 0.18 1.00 | Pen 239.99 0.10
It   8000    136 | T(s) 1442.63 | Feas 43 196592.00 196815.04 | Inf 42 196809.99 197158.55 | Div 0.37 0.36 | Feas 0.24 1.00 | Pen 239.99 0.10
It   8500    160 | T(s) 1526.32 | Feas 35 196546.00 196868.96 | Inf 63 196728.99 197040.15 | Div 0.40 0.34 | Feas 0.21 1.00 | Pen 239.99 0.10
It   9000    181 | T(s) 1609.09 | Feas 49 196469.00 196764.92 | Inf 59 196703.99 196967.47 | Div 0.37 0.34 | Feas 0.16 1.00 | Pen 239.99 0.10
